R | (299.197) X2 09:53:03.739
T | (299.814) X1 09:53:04.356
R | (299.829) X2 09:53:04.371
T | (300.440) X1 09:53:04.983
R | (300.452) X2 09:53:04.994
T | (301.067) X1 09:53:05.610
R | (301.078) X2 09:53:05.621
T | (301.697) X1 09:53:06.239
R | (301.709) X2 09:53:06.252
T | (302.325) X1 09:53:06.868
R | (302.336) X2 09:53:06.879
T | (302.956) X1 09:53:07.499
R | (302.969) X2 09:53:07.512
T | (303.582) X1 09:53:08.125
R | (303.593) X2 09:53:08.136
T | (304.208) X1 09:53:08.751
R | (304.219) X2 09:53:08.762
T | (304.838) X1 09:53:09.381
R | (304.849) X2 09:53:09.393
T | (305.464) X1 09:53:10.008
R | (305.476) X2 09:53:10.020
T | (306.095) X1 09:53:10.638
R | (306.108) X2 09:53:10.652
T | (306.724) X1 09:53:11.267
R | (306.735) X2 09:53:11.278
T | (307.351) X1 09:53:11.895
R | (307.368) X2 09:53:11.911
T | (307.987) X1 09:53:12.531
R | (308.005) X2 09:53:12.549
T | (308.621) X1 09:53:13.165
R | (308.632) X2 09:53:13.176
T | (310.287) X1 09:53:14.831
R | (310.304) X2 09:53:14.848
T | (310.919) X1 09:53:15.463
R | (310.930) X2 09:53:15.474
T | (311.547) X1 09:53:16.091
R | (311.564) X2 09:53:16.108
T | (312.183) X1 09:53:16.727
R | (312.193) X2 09:53:16.738
T | (312.809) X1 09:53:17.353
R | (312.823) X2 09:53:17.367
T | (313.437) X1 09:53:17.981
R | (313.449) X2 09:53:17.993
T | (314.067) X1 09:53:18.611
R | (314.082) X2 09:53:18.626
T | (314.699) X1 09:53:19.243
R | (314.710) X2 09:53:19.254
T | (315.330) X1 09:53:19.875
R | (315.342) X2 09:53:19.886
T | (315.957) X1 09:53:20.502
R | (315.968) X2 09:53:20.513
T | (316.584) X1 09:53:21.129
R | (316.601) X2 09:53:21.145
T | (317.220) X1 09:53:21.764
R | (317.231) X2 09:53:21.775
T | (317.849) X1 09:53:22.394
R | (317.860) X2 09:53:22.405
T | (318.476) X1 09:53:23.021
R | (318.488) X2 09:53:23.033
T | (319.108) X1 09:53:23.652
R | (319.120) X2 09:53:23.664
T | (319.736) X1 09:53:24.281
R | (319.848) X2 09:53:24.393
T | (320.464) X1 09:53:25.009
R | (320.475) X2 09:53:25.020
T | (321.091) X1 09:53:25.636
R | (321.102) X2 09:53:25.647
T | (321.721) X1 09:53:26.265
R | (321.733) X2 09:53:26.278
T | (322.350) X1 09:53:26.895
R | (322.361) X2 09:53:26.906
T | (322.977) X1 09:53:27.522
R | (322.993) X2 09:53:27.538
T | (323.609) X1 09:53:28.154
R | (323.620) X2 09:53:28.165
T | (324.237) X1 09:53:28.782
R | (324.251) X2 09:53:28.796
T | (324.868) X1 09:53:29.413
R | (324.879) X2 09:53:29.424
T | (325.497) X1 09:53:30.042
R | (325.511) X2 09:53:30.056
T | (326.123) X1 09:53:30.668
R | (326.134) X2 09:53:30.679
T | (326.750) X1 09:53:31.295
R | (326.761) X2 09:53:31.306
T | (327.379) X1 09:53:31.924
R | (327.392) X2 09:53:31.937
T | (328.008) X1 09:53:32.553
R | (328.019) X2 09:53:32.565
T | (328.635) X1 09:53:33.180
R | (328.651) X2 09:53:33.197
T | (329.268) X1 09:53:33.813
R | (329.279) X2 09:53:33.824
T | (329.896) X1 09:53:34.442
R | (329.910) X2 09:53:34.456
T | (13134.114) X1 09:53:35.072
T | (13134.114) X1 09:53:35.703
R | (13134.114) X2 09:53:35.083
R | (13134.114) X2 09:53:35.715
T | (13134.278) .1 13:26:58.816
R | (13134.289) .2 13:26:58.826
T | (13134.904) X1 13:26:59.441
R | (13134.921) X2 13:26:59.459
T | (13135.534) X1 13:27:00.071
R | (13135.545) X2 13:27:00.082
T | (13136.160) X1 13:27:00.698
R | (13136.171) X2 13:27:00.709
T | (13136.792) X1 13:27:01.330
R | (13136.803) X2 13:27:01.340
T | (13137.416) X1 13:27:01.953
